year,channel_name,is_public_channel,avg_female_share,avg_male_share,total_female_duration,total_male_duration,n_obs
2010,ARTE,True,0.27724556644913373,0.7227544335508663,1164577.44,2973508.3400000003,1698
2010,Animaux,False,0.25836289799256623,0.7416371020074337,644920.5399999999,1844392.34,923
2010,BFM TV,False,0.3870247043362746,0.6129752956637254,2013958.76,3195819.92,1674
2010,Canal+,False,0.22212173995623097,0.7778782600437689,909338.4,3317801.08,1661
2010,Canal+ Sport,False,0.06873521406661795,0.931264785933382,172028.69999999998,2708098.8400000003,990
2010,Chasse et pêche,False,0.07288050566173354,0.9271194943382665,173325.36000000002,2236728.66,914
2010,Comédie+,False,0.29520680623693846,0.7047931937630616,741632.62,1765621.26,958
2010,Euronews,False,0.3421396564893915,0.6578603435106086,827458.0,1590006.48,903
2010,Eurosport France,False,0.0730991549113126,0.9269008450886874,350272.56,4684387.220000001,1734
2010,France 2,True,0.2798687260951868,0.7201312739048131,1342156.7200000002,3374428.38,1690
2010,France 3,True,0.2983292962870903,0.7016707037129097,1409479.78,3313377.04,1725
2010,France 5,True,0.27238494164273797,0.7276150583572619,1280761.68,3481032.4,1716
2010,France O,True,0.3119427779823909,0.688057222017609,1329405.28,2861197.88,1662
2010,I-Télé/CNews,False,0.3859727894230015,0.6140272105769984,1992757.3800000001,3188523.44,1674
2010,LCI,False,0.3261238296766721,0.6738761703233279,1687879.74,3486357.46,1701
2010,LCP/Public Sénat,True,0.25320414991280793,0.7467958500871921,1383086.08,4093126.12,1680
2010,La chaîne Météo,False,0.3102564255900212,0.6897435744099788,905589.4800000001,1999752.36,929
2010,M6,False,0.3960734782522851,0.6039265217477149,1713028.1,2634451.62,1719
2010,Monte Carlo TMC,False,0.2828133609635035,0.7171866390364965,1111804.5000000002,2783277.58,1655
2010,NRJ 12,False,0.3007727166374404,0.6992272833625596,1227372.56,2741517.8800000004,1738
2010,Paris Première,False,0.24445284341026297,0.755547156589737,600833.72,1818363.4400000002,999
2010,Planète+,False,0.1754074003642096,0.8245925996357905,425553.82000000007,1976621.86,911
2010,TF1,False,0.3268777265697555,0.6731222734302444,1413372.6400000001,2951741.68,1698
2010,TV5 Monde,True,0.2794628000652543,0.7205371999347457,729980.3200000001,1874424.34,939
2010,Toute l'Histoire,False,0.1775767666386125,0.8224232333613876,450267.7,2070809.7000000002,928
2010,Voyage,False,0.23746854898312506,0.762531451016875,575694.98,1858774.12,958
2010,W9,False,0.3290033181456396,0.6709966818543603,1003247.46,2249509.64,1659
2011,ARTE,True,0.2783040709679505,0.7216959290320494,1184572.88,3036063.54,1698
2011,Animaux,False,0.31190430552214193,0.688095694477858,766521.6400000001,1662830.5,908
2011,BFM TV,False,0.3695607936696234,0.6304392063303765,1953521.08,3337027.16,1672
2011,Canal+,False,0.22728432106511526,0.7727156789348847,985729.7600000001,3462849.62,1759
2011,Canal+ Sport,False,0.06530950619110129,0.9346904938088988,155272.69999999998,2651386.5,940
2011,Chasse et pêche,False,0.08190502196239256,0.9180949780376074,183952.18000000002,2074729.74,882
2011,Comédie+,False,0.27907125620295037,0.7209287437970496,669559.0800000002,1710048.18,906
2011,Euronews,False,0.3067215703459457,0.6932784296540543,776051.1799999999,1753310.92,917
2011,Eurosport France,False,0.07675779576933567,0.9232422042306643,368853.66000000003,4618636.0,1680
2011,France 2,True,0.3003856275098211,0.6996143724901788,1398942.22,3172077.1,1626
2011,France 24,True,0.4387916804013912,0.5612083195986088,2262674.52,2903250.16,1647
