year,channel_name,theme,total_subjects,total_duration,n_days
2002,France 2,Sciences et techniques,223,17665,159
2002,France 2,Société,1866,147357,353
2002,France 2,Sport,712,49062,315
2002,France 3,Catastrophes,208,16531,132
2002,France 3,Culture-loisirs,337,37629,224
2002,France 3,Economie,316,31520,182
2002,France 3,Education,80,8661,65
2002,France 3,Environnement,161,14849,119
2002,France 3,Faits divers,200,17598,139
2002,France 3,Histoire-hommages,65,6543,48
2002,France 3,International,792,71113,300
2002,France 3,Justice,360,33393,214
2002,France 3,Politique France,691,74073,267
2002,France 3,Santé,117,11572,95
2002,France 3,Sciences et techniques,94,9914,79
2002,France 3,Société,936,86943,311
2002,France 3,Sport,377,28445,215
2002,M6,Catastrophes,210,13239,163
2002,M6,Culture-loisirs,300,19673,224
2002,M6,Economie,239,14834,176
2002,M6,Education,105,8466,89
2002,M6,Environnement,176,10768,131
2002,M6,Faits divers,189,12170,136
2002,M6,Histoire-hommages,43,2954,35
2002,M6,International,354,18513,236
2002,M6,Justice,262,14639,185
2002,M6,Politique France,369,30520,222
2002,M6,Santé,116,7936,98
2002,M6,Sciences et techniques,99,5549,90
2002,M6,Société,808,50165,318
2002,M6,Sport,354,17289,233
2002,TF1,Catastrophes,478,39176,225
2002,TF1,Culture-loisirs,524,45926,275
2002,TF1,Economie,534,45122,277
2002,TF1,Education,205,19020,147
2002,TF1,Environnement,504,42050,241
2002,TF1,Faits divers,360,31586,199
2002,TF1,Histoire-hommages,83,7156,64
2002,TF1,International,961,81928,330
2002,TF1,Justice,523,47981,265
2002,TF1,Politique France,966,92946,322
2002,TF1,Santé,320,29089,225
2002,TF1,Sciences et techniques,202,16603,152
2002,TF1,Société,2016,177869,357
2002,TF1,Sport,666,52545,297
2003,Arte,Catastrophes,92,4533,75
2003,Arte,Culture-loisirs,355,55066,274
2003,Arte,Economie,142,13880,111
2003,Arte,Education,39,4161,33
2003,Arte,Environnement,97,8354,75
2003,Arte,Faits divers,38,2100,34
2003,Arte,Histoire-hommages,46,4810,36
2003,Arte,International,2068,190875,353
2003,Arte,Justice,158,8988,124
2003,Arte,Politique France,128,10365,95
2003,Arte,Santé,102,7174,84
2003,Arte,Sciences et techniques,72,5321,64
2003,Arte,Société,599,57469,281
2003,Arte,Sport,32,3609,27
2003,France 2,Catastrophes,440,33981,193
2003,France 2,Culture-loisirs,613,58151,309
2003,France 2,Economie,486,40904,253
2003,France 2,Education,249,21324,136
2003,France 2,Environnement,508,38622,234
2003,France 2,Faits divers,321,25798,200
2003,France 2,Histoire-hommages,88,7069,68
2003,France 2,International,1919,163391,349
2003,France 2,Justice,425,32939,226
2003,France 2,Politique France,568,47009,277
2003,France 2,Santé,366,32135,220
2003,France 2,Sciences et techniques,243,18410,157
2003,France 2,Société,1969,161501,349
2003,France 2,Sport,566,36908,300
2003,France 3,Catastrophes,256,21854,143
2003,France 3,Culture-loisirs,349,34804,245
2003,France 3,Economie,298,28477,183
2003,France 3,Education,115,11278,75
2003,France 3,Environnement,226,19208,135
2003,France 3,Faits divers,188,16985,130
2003,France 3,Histoire-hommages,40,4177,35
2003,France 3,International,1350,123458,331
2003,France 3,Justice,288,24776,180
2003,France 3,Politique France,370,35287,211
2003,France 3,Santé,175,18423,134
2003,France 3,Sciences et techniques,95,8914,82
2003,France 3,Société,1075,102565,327
2003,France 3,Sport,304,22018,202
2003,M6,Catastrophes,175,12866,136
2003,M6,Culture-loisirs,245,15203,192
2003,M6,Economie,198,11983,150
2003,M6,Education,132,10827,108
2003,M6,Environnement,203,14081,158
2003,M6,Faits divers,235,14330,154
2003,M6,Histoire-hommages,26,2217,26
2003,M6,International,447,30353,252
2003,M6,Justice,209,12409,158
2003,M6,Politique France,152,10220,117
2003,M6,Santé,160,12493,127
2003,M6,Sciences et techniques,82,5635,67
2003,M6,Société,777,53317,318
2003,M6,Sport,251,11125,188
2003,TF1,Catastrophes,516,43045,231
2003,TF1,Culture-loisirs,490,42563,272
2003,TF1,Economie,526,44062,256
2003,TF1,Education,243,20862,145
2003,TF1,Environnement,666,56385,274
2003,TF1,Faits divers,348,30223,215
2003,TF1,Histoire-hommages,64,4983,53
2003,TF1,International,1720,154357,355
2003,TF1,Justice,429,35000,243
2003,TF1,Politique France,474,42217,253
2003,TF1,Santé,452,41133,241
2003,TF1,Sciences et techniques,241,19777,165
2003,TF1,Société,1961,168091,351
2003,TF1,Sport,468,33219,288
2004,Arte,Catastrophes,129,7599,90
2004,Arte,Culture-loisirs,55,3819,52
2004,Arte,Economie,138,10992,116
2004,Arte,Education,22,2488,21
2004,Arte,Environnement,39,2915,37
2004,Arte,Faits divers,41,1776,36
2004,Arte,Histoire-hommages,125,11453,74
2004,Arte,International,1884,143905,365
2004,Arte,Justice,178,11283,141
2004,Arte,Politique France,124,9961,90
2004,Arte,Santé,50,4077,44
2004,Arte,Sciences et techniques,63,4221,58
2004,Arte,Société,499,38262,276
2004,Arte,Sport,31,2302,28
2004,France 2,Catastrophes,504,40571,204
2004,France 2,Culture-loisirs,652,66455,314
2004,France 2,Economie,531,49054,273
2004,France 2,Education,175,16329,122
2004,France 2,Environnement,283,22952,185
2004,France 2,Faits divers,354,28945,211
2004,France 2,Histoire-hommages,278,26649,132
2004,France 2,International,1659,140493,356
2004,France 2,Justice,579,47714,257
2004,France 2,Politique France,570,50373,248
2004,France 2,Santé,353,31549,221
2004,France 2,Sciences et techniques,268,20952,182
2004,France 2,Société,1660,137616,351
2004,France 2,Sport,675,48118,314
2004,France 3,Catastrophes,258,22166,129
2004,France 3,Culture-loisirs,348,37338,251
2004,France 3,Economie,258,25733,175
2004,France 3,Education,67,6857,61
2004,France 3,Environnement,93,7333,71
2004,France 3,Faits divers,255,23652,177
2004,France 3,Histoire-hommages,148,14434,90
2004,France 3,International,1159,104569,341
2004,France 3,Justice,433,39402,240
2004,France 3,Politique France,421,40424,213
2004,France 3,Santé,172,18496,130
2004,France 3,Sciences et techniques,100,9841,83
2004,France 3,Société,956,90188,334
2004,France 3,Sport,342,26316,217
2004,M6,Catastrophes,192,14860,136
2004,M6,Culture-loisirs,223,11183,187
2004,M6,Economie,194,12115,150
2004,M6,Education,88,7303,81
2004,M6,Environnement,94,5178,85
2004,M6,Faits divers,229,15480,178
2004,M6,Histoire-hommages,79,9336,52
2004,M6,International,460,29511,257
2004,M6,Justice,291,18601,199
2004,M6,Politique France,225,17285,145
2004,M6,Santé,154,11141,124
2004,M6,Sciences et techniques,73,3912,67
2004,M6,Société,764,48861,309
2004,M6,Sport,249,10364,192
2004,TF1,Catastrophes,394,33700,184
2004,TF1,Culture-loisirs,452,39715,238
2004,TF1,Economie,568,47327,253
2004,TF1,Education,183,16626,128
2004,TF1,Environnement,312,25124,174
2004,TF1,Faits divers,282,23862,171
2004,TF1,Histoire-hommages,215,20781,110
2004,TF1,International,1138,94211,292
2004,TF1,Justice,477,42190,221
2004,TF1,Politique France,437,38944,215
2004,TF1,Santé,382,33614,211
2004,TF1,Sciences et techniques,251,20683,165
2004,TF1,Société,1679,137994,295
2004,TF1,Sport,508,37814,253
2005,Arte,Catastrophes,230,16097,148
2005,Arte,Culture-loisirs,40,4276,33
2005,Arte,Economie,136,9218,112
2005,Arte,Education,28,1895,25
2005,Arte,Environnement,77,5485,65
2005,Arte,Faits divers,34,2178,29
2005,Arte,Histoire-hommages,98,9742,62
2005,Arte,International,1783,138538,357
2005,Arte,Justice,153,9052,112
2005,Arte,Politique France,85,7381,67
2005,Arte,Santé,97,7360,72
2005,Arte,Sciences et techniques,50,3295,47
2005,Arte,Société,554,44830,265
2005,Arte,Sport,17,821,17
2005,France 2,Catastrophes,747,62296,237
2005,France 2,Culture-loisirs,713,74027,336
2005,France 2,Economie,524,50145,263
2005,France 2,Education,198,18567,137
2005,France 2,Environnement,410,33451,202
2005,France 2,Faits divers,250,21277,171
2005,France 2,Histoire-hommages,198,18936,123
2005,France 2,International,1286,104888,341
2005,France 2,Justice,423,36202,239
2005,France 2,Politique France,344,28184,198
2005,France 2,Santé,411,37330,214
2005,France 2,Sciences et techniques,230,20033,163
2005,France 2,Société,1885,163574,355
2005,France 2,Sport,618,41658,303
2005,France 3,Catastrophes,400,35218,176
2005,France 3,Culture-loisirs,372,41331,259
2005,France 3,Economie,319,32975,211
2005,France 3,Education,112,11689,87
2005,France 3,Environnement,167,14292,119
2005,France 3,Faits divers,185,16395,132
2005,France 3,Histoire-hommages,136,14395,92
2005,France 3,International,897,85950,307
2005,France 3,Justice,345,31980,213
2005,France 3,Politique France,287,28995,176
2005,France 3,Santé,249,25482,163
2005,France 3,Sciences et techniques,108,9442,89
2005,France 3,Société,1200,116383,333
2005,France 3,Sport,351,26016,222
2005,M6,Catastrophes,299,23917,179
2005,M6,Culture-loisirs,289,24058,214
2005,M6,Economie,176,10896,146
2005,M6,Education,91,7279,76
2005,M6,Environnement,126,7945,105
2005,M6,Faits divers,138,8276,116
2005,M6,Histoire-hommages,82,6130,63
2005,M6,International,432,25147,258
2005,M6,Justice,181,11266,142
2005,M6,Politique France,135,8974,104
2005,M6,Santé,176,11728,133
2005,M6,Sciences et techniques,83,5481,76
2005,M6,Société,838,59070,325
2005,M6,Sport,443,23364,274
2005,TF1,Catastrophes,796,69052,244
2005,TF1,Culture-loisirs,516,46694,282
2005,TF1,Economie,681,58256,302
2005,TF1,Education,227,20590,159
2005,TF1,Environnement,499,40620,246
2005,TF1,Faits divers,239,20592,165
2005,TF1,Histoire-hommages,186,16393,116
2005,TF1,International,1090,93949,343
2005,TF1,Justice,426,35973,215
2005,TF1,Politique France,375,31960,209
2005,TF1,Santé,445,38664,235
2005,TF1,Sciences et techniques,266,22092,178
2005,TF1,Société,2154,187909,358
2005,TF1,Sport,584,42541,304
2006,Arte,Catastrophes,104,5993,92
2006,Arte,Culture-loisirs,35,2864,34
2006,Arte,Economie,163,12115,129
2006,Arte,Education,31,2788,29
2006,Arte,Environnement,111,7740,97
2006,Arte,Faits divers,49,3406,44
2006,Arte,Histoire-hommages,61,3953,55
2006,Arte,International,1732,135159,364
2006,Arte,Justice,245,16183,175
2006,Arte,Politique France,156,13186,122
2006,Arte,Santé,138,11208,101
2006,Arte,Sciences et techniques,82,4850,71
2006,Arte,Société,590,47355,300
2006,Arte,Sport,74,6595,51
2006,France 2,Catastrophes,260,19478,170
2006,France 2,Culture-loisirs,710,73632,337
2006,France 2,Economie,513,49052,256
2006,France 2,Education,228,22926,154
2006,France 2,Environnement,367,28711,214
2006,France 2,Faits divers,269,22822,175
2006,France 2,Histoire-hommages,107,9862,77
2006,France 2,International,954,74745,335
2006,France 2,Justice,507,44995,242
2006,France 2,Politique France,437,39420,227
2006,France 2,Santé,438,39454,224
2006,France 2,Sciences et techniques,223,19783,159
2006,France 2,Société,1638,146196,361
2006,France 2,Sport,836,60413,325
2006,France 3,Catastrophes,161,11626,120
2006,France 3,Culture-loisirs,400,42617,271
2006,France 3,Economie,309,31039,202
2006,France 3,Education,111,11896,88
2006,France 3,Environnement,215,18990,147
2006,France 3,Faits divers,213,17840,151
2006,France 3,Histoire-hommages,79,7585,55
2006,France 3,International,731,69003,306
2006,France 3,Justice,444,43056,246
2006,France 3,Politique France,388,39645,222
2006,France 3,Santé,277,27362,184
2006,France 3,Sciences et techniques,139,12308,110
2006,France 3,Société,1167,113601,346
2006,France 3,Sport,456,36380,245
2006,M6,Catastrophes,133,8596,110
2006,M6,Culture-loisirs,229,19638,187
2006,M6,Economie,164,12384,127
2006,M6,Education,86,7894,74
2006,M6,Environnement,112,6615,103
2006,M6,Faits divers,169,12670,135
2006,M6,Histoire-hommages,37,2866,32
2006,M6,International,294,20590,200
2006,M6,Justice,251,18719,182
2006,M6,Politique France,163,12716,127
2006,M6,Santé,154,12208,118
2006,M6,Sciences et techniques,95,6505,86
2006,M6,Société,648,49688,308
2006,M6,Sport,462,30031,268
2006,TF1,Catastrophes,295,22391,185
2006,TF1,Culture-loisirs,549,49023,292
2006,TF1,Economie,588,49510,286
2006,TF1,Education,271,25264,181
2006,TF1,Environnement,465,38316,228
2006,TF1,Faits divers,259,22981,167
2006,TF1,Histoire-hommages,99,9468,78
2006,TF1,International,852,69152,319
2006,TF1,Justice,499,44195,246
2006,TF1,Politique France,440,41775,238
2006,TF1,Santé,477,40622,243
2006,TF1,Sciences et techniques,278,22452,187
2006,TF1,Société,1806,153654,356
2006,TF1,Sport,887,69068,315
2007,Arte,Catastrophes,119,6251,99
2007,Arte,Culture-loisirs,51,3744,42
2007,Arte,Economie,208,17299,151
2007,Arte,Education,28,3102,27
2007,Arte,Environnement,140,12280,117
2007,Arte,Faits divers,37,2776,32
2007,Arte,Histoire-hommages,70,5081,56
2007,Arte,International,1761,128667,363
2007,Arte,Justice,208,14020,155
2007,Arte,Politique France,204,18862,153
2007,Arte,Santé,56,4344,52
2007,Arte,Sciences et techniques,45,2707,41
2007,Arte,Société,553,45998,294
2007,Arte,Sport,46,3788,37
2007,France 2,Catastrophes,354,24332,186
2007,France 2,Culture-loisirs,690,73407,329
2007,France 2,Economie,525,49983,269
2007,France 2,Education,210,19599,140
2007,France 2,Environnement,472,38731,237
2007,France 2,Faits divers,301,21915,195
2007,France 2,Histoire-hommages,126,11550,90
2007,France 2,International,955,70976,334
2007,France 2,Justice,452,35838,237
2007,France 2,Politique France,869,82772,293
2007,France 2,Santé,267,24242,180
2007,France 2,Sciences et techniques,177,15079,131
2007,France 2,Société,1610,137080,357
2007,France 2,Sport,804,50765,321
2007,France 3,Catastrophes,205,17385,152
2007,France 3,Culture-loisirs,422,47506,279
2007,France 3,Economie,355,35977,215
2007,France 3,Education,92,9068,77
2007,France 3,Environnement,206,18504,145
2007,France 3,Faits divers,244,18751,167
2007,France 3,Histoire-hommages,105,9885,75
2007,France 3,International,701,61411,307
2007,France 3,Justice,389,36638,225
2007,France 3,Politique France,698,75124,289
2007,France 3,Santé,152,15498,118
2007,France 3,Sciences et techniques,75,7124,63
2007,France 3,Société,958,90379,342
2007,France 3,Sport,458,34626,250
2007,M6,Catastrophes,157,10255,122
2007,M6,Culture-loisirs,254,21779,205
2007,M6,Economie,155,11841,128
2007,M6,Education,62,4987,53
2007,M6,Environnement,132,8639,110
2007,M6,Faits divers,213,14652,163
2007,M6,Histoire-hommages,59,4401,48
2007,M6,International,334,20897,224
2007,M6,Justice,251,18094,175
2007,M6,Politique France,406,31049,218
2007,M6,Santé,104,8138,93
2007,M6,Sciences et techniques,74,4669,69
2007,M6,Société,611,43704,292
2007,M6,Sport,365,20628,243
2007,TF1,Catastrophes,431,27483,220
2007,TF1,Culture-loisirs,633,53511,304
2007,TF1,Economie,659,51038,286
2007,TF1,Education,262,20695,174
2007,TF1,Environnement,587,43080,280
2007,TF1,Faits divers,352,23499,212
2007,TF1,Histoire-hommages,164,12602,109
2007,TF1,International,1055,67838,347
2007,TF1,Justice,537,36839,258
2007,TF1,Politique France,860,74260,303
2007,TF1,Santé,346,28428,211
2007,TF1,Sciences et techniques,261,18771,176
2007,TF1,Société,1859,146140,358
2007,TF1,Sport,907,53481,328
2008,Arte,Catastrophes,116,6694,80
2008,Arte,Culture-loisirs,55,4191,44
2008,Arte,Economie,452,36945,240
2008,Arte,Education,39,3433,38
2008,Arte,Environnement,70,4815,61
2008,Arte,Faits divers,52,3103,49
2008,Arte,Histoire-hommages,71,5085,58
2008,Arte,International,1876,132934,366
2008,Arte,Justice,185,11227,136
2008,Arte,Politique France,129,12538,99
2008,Arte,Santé,44,3728,40
2008,Arte,Sciences et techniques,54,3744,51
2008,Arte,Société,496,38244,271
2008,Arte,Sport,77,6296,60
2008,France 2,Catastrophes,397,26384,209
2008,France 2,Culture-loisirs,754,80610,343
2008,France 2,Economie,975,83396,320
2008,France 2,Education,176,16632,111
2008,France 2,Environnement,311,25174,198
2008,France 2,Faits divers,388,29450,214
2008,France 2,Histoire-hommages,168,13820,105
2008,France 2,International,1216,94805,342
2008,France 2,Justice,437,34624,223
2008,France 2,Politique France,549,46784,235
2008,France 2,Santé,307,29282,196
2008,France 2,Sciences et techniques,142,11716,117
2008,France 2,Société,1308,113746,355
2008,France 2,Sport,929,62053,335
2008,France 3,Catastrophes,211,15406,141
2008,France 3,Culture-loisirs,475,53794,295
2008,France 3,Economie,588,61848,269
2008,France 3,Education,109,12218,88
2008,France 3,Environnement,168,13817,120
2008,France 3,Faits divers,286,22284,192
2008,France 3,Histoire-hommages,102,10279,68
2008,France 3,International,750,72328,296
2008,France 3,Justice,343,33072,226
2008,France 3,Politique France,428,45016,234
2008,France 3,Santé,161,17032,119
2008,France 3,Sciences et techniques,87,7835,74
2008,France 3,Société,843,81162,338
2008,France 3,Sport,490,38286,261
2008,M6,Catastrophes,166,9674,130
2008,M6,Culture-loisirs,310,26060,253
2008,M6,Economie,316,22530,198
2008,M6,Education,95,7107,82
2008,M6,Environnement,84,5680,72
2008,M6,Faits divers,302,19661,208
2008,M6,Histoire-hommages,66,4843,53
2008,M6,International,343,23028,213
2008,M6,Justice,252,17854,177
2008,M6,Politique France,209,15685,153
2008,M6,Santé,150,11732,122
2008,M6,Sciences et techniques,80,5059,70
2008,M6,Société,641,43512,300
2008,M6,Sport,456,26346,282
2008,TF1,Catastrophes,415,27564,210
2008,TF1,Culture-loisirs,690,60009,322
2008,TF1,Economie,1009,80580,334
2008,TF1,Education,232,21231,163
2008,TF1,Environnement,388,31199,238
2008,TF1,Faits divers,414,30712,234
2008,TF1,Histoire-hommages,180,14029,118
2008,TF1,International,1067,77249,334
2008,TF1,Justice,425,33170,224
2008,TF1,Politique France,478,40722,237
2008,TF1,Santé,328,29619,216
2008,TF1,Sciences et techniques,232,19127,152
2008,TF1,Société,1617,128283,361
2008,TF1,Sport,944,63067,329
2009,Arte,Catastrophes,87,4667,80
2009,Arte,Culture-loisirs,46,3847,43
2009,Arte,Economie,433,32555,254
2009,Arte,Education,38,3657,34
2009,Arte,Environnement,104,9667,80
2009,Arte,Faits divers,51,2677,46
2009,Arte,Histoire-hommages,134,10548,98
2009,Arte,International,1786,130879,363
2009,Arte,Justice,198,12475,151
2009,Arte,Politique France,93,6983,81
2009,Arte,Santé,93,7149,80
2009,Arte,Sciences et techniques,55,4022,48
2009,Arte,Société,457,37241,266
2009,Arte,Sport,12,925,12
2009,France 2,Catastrophes,536,36220,217
2009,France 2,Culture-loisirs,639,64467,320
2009,France 2,Economie,711,58566,283
2009,France 2,Education,159,14829,106
2009,France 2,Environnement,278,23908,166
2009,France 2,Faits divers,404,27459,228
2009,France 2,Histoire-hommages,234,20486,123
2009,France 2,International,961,68931,316
2009,France 2,Justice,420,36501,233
2009,France 2,Politique France,409,32428,220
2009,France 2,Santé,519,44862,240
2009,France 2,Sciences et techniques,124,10488,96
2009,France 2,Société,1286,109368,347
2009,France 2,Sport,625,36438,313
2009,France 3,Catastrophes,341,28630,180
2009,France 3,Culture-loisirs,453,52228,296
2009,France 3,Economie,486,47624,250
2009,France 3,Education,112,11080,91
2009,France 3,Environnement,183,18069,121
2009,France 3,Faits divers,297,22195,188
2009,France 3,Histoire-hommages,129,12188,82
2009,France 3,International,717,67602,290
2009,France 3,Justice,384,36237,231
2009,France 3,Politique France,297,29219,194
2009,France 3,Santé,320,32296,192
2009,France 3,Sciences et techniques,87,9559,73
2009,France 3,Société,888,83526,324
2009,France 3,Sport,305,21617,200
2009,M6,Catastrophes,254,16238,174
2009,M6,Culture-loisirs,326,26379,246
2009,M6,Economie,330,22549,206
2009,M6,Education,101,7793,86
2009,M6,Environnement,123,8170,99
2009,M6,Faits divers,343,19084,217
2009,M6,Histoire-hommages,93,6918,72
2009,M6,International,384,20169,223
2009,M6,Justice,354,22366,203
2009,M6,Politique France,201,13547,141
2009,M6,Santé,269,19447,175
