year,is_public_channel,theme,total_subjects,total_duration,n_days
2005,True,Environnement,577,47743,238
2005,True,Faits divers,435,37672,210
2005,True,Histoire-hommages,334,33331,160
2005,True,International,2183,190838,353
2005,True,Justice,768,68182,284
2005,True,Politique France,631,57179,259
2005,True,Santé,660,62812,263
2005,True,Sciences et techniques,338,29475,199
2005,True,Société,3085,279957,362
2005,True,Sport,969,67674,320
2006,False,Catastrophes,428,30987,220
2006,False,Culture-loisirs,778,68661,323
2006,False,Economie,752,61894,304
2006,False,Education,357,33158,199
2006,False,Environnement,577,44931,251
2006,False,Faits divers,428,35651,216
2006,False,Histoire-hommages,136,12334,90
2006,False,International,1146,89742,322
2006,False,Justice,750,62914,275
2006,False,Politique France,603,54491,265
2006,False,Santé,631,52830,265
2006,False,Sciences et techniques,373,28957,219
2006,False,Société,2454,203342,361
2006,False,Sport,1349,99099,334
2006,True,Catastrophes,421,31104,210
2006,True,Culture-loisirs,1110,116249,358
2006,True,Economie,822,80091,305
2006,True,Education,339,34822,178
2006,True,Environnement,582,47701,263
2006,True,Faits divers,482,40662,224
2006,True,Histoire-hommages,186,17447,105
2006,True,International,1685,143748,352
2006,True,Justice,951,88051,300
2006,True,Politique France,825,79065,278
2006,True,Santé,715,66816,276
2006,True,Sciences et techniques,362,32091,207
2006,True,Société,2805,259797,362
2006,True,Sport,1292,96793,335
2007,False,Catastrophes,588,37738,245
2007,False,Culture-loisirs,887,75290,329
2007,False,Economie,814,62879,306
2007,False,Education,324,25682,181
2007,False,Environnement,719,51719,294
2007,False,Faits divers,565,38151,255
2007,False,Histoire-hommages,223,17003,129
2007,False,International,1389,88735,351
2007,False,Justice,788,54933,285
2007,False,Politique France,1266,105309,317
2007,False,Santé,450,36566,234
2007,False,Sciences et techniques,335,23440,199
2007,False,Société,2470,189844,362
2007,False,Sport,1272,74109,338
2007,True,Catastrophes,559,41717,231
2007,True,Culture-loisirs,1112,120913,348
2007,True,Economie,880,85960,300
2007,True,Education,302,28667,162
2007,True,Environnement,678,57235,267
2007,True,Faits divers,545,40666,242
2007,True,Histoire-hommages,231,21435,121
2007,True,International,1656,132387,356
2007,True,Justice,841,72476,288
2007,True,Politique France,1567,157896,329
2007,True,Santé,419,39740,219
2007,True,Sciences et techniques,252,22203,165
2007,True,Société,2568,227459,363
2007,True,Sport,1262,85391,330
2008,False,Catastrophes,581,37238,239
2008,False,Culture-loisirs,1000,86069,348
2008,False,Economie,1325,103110,346
2008,False,Education,327,28338,185
2008,False,Environnement,472,36879,258
2008,False,Faits divers,716,50373,280
2008,False,Histoire-hommages,246,18872,131
2008,False,International,1410,100277,340
2008,False,Justice,677,51024,267
2008,False,Politique France,687,56407,253
2008,False,Santé,478,41351,246
2008,False,Sciences et techniques,312,24186,176
2008,False,Société,2258,171795,365
2008,False,Sport,1400,89413,340
2008,True,Catastrophes,608,41790,237
2008,True,Culture-loisirs,1229,134404,360
2008,True,Economie,1563,145244,349
2008,True,Education,285,28850,146
2008,True,Environnement,479,38991,246
2008,True,Faits divers,674,51734,262
2008,True,Histoire-hommages,270,24099,125
2008,True,International,1966,167133,355
2008,True,Justice,780,67696,279
2008,True,Politique France,977,91800,291
2008,True,Santé,468,46314,230
2008,True,Sciences et techniques,229,19551,158
2008,True,Société,2151,194908,363
