year,channel_name,theme,total_subjects,total_duration,n_days,total_subjects_all_themes,theme_share,avg_female_share,avg_male_share
2015,France 3,Culture-loisirs,272,30364,185,4514,0.06025697828976517,0.29749708521732615,0.7025029147826738
2015,M6,Culture-loisirs,540,51611,300,5172,0.10440835266821345,0.40791561019796263,0.5920843898020374
2015,TF1,Culture-loisirs,546,59968,280,6098,0.08953755329616267,0.35523936684923507,0.6447606331507649
2016,France 2,Culture-loisirs,371,59017,225,6874,0.0539714867617108,0.335066611290767,0.6649333887092331
2016,France 3,Culture-loisirs,263,31619,194,4966,0.052960128876359244,0.3243162183799622,0.6756837816200377
2016,M6,Culture-loisirs,559,57880,328,5909,0.09460145540700626,0.41293177765030864,0.5870682223496914
2016,TF1,Culture-loisirs,560,69084,299,6560,0.08536585365853659,0.37666034338367316,0.6233396566163268
2017,France 2,Culture-loisirs,276,49908,169,6354,0.04343720491029273,0.3575824853419768,0.6424175146580233
2017,France 3,Culture-loisirs,260,30878,192,4785,0.054336468129571575,0.34530453147396,0.65469546852604
2017,M6,Culture-loisirs,583,58435,336,5571,0.10464907556991564,0.4374584978412171,0.562541502158783
2017,TF1,Culture-loisirs,442,53450,251,6100,0.07245901639344263,0.3840220579668857,0.6159779420331143
2018,France 2,Culture-loisirs,289,46019,190,6310,0.04580031695721078,0.3633825682400644,0.6366174317599356
2018,France 3,Culture-loisirs,255,32425,185,4798,0.0531471446436015,0.34802393356750483,0.6519760664324951
2018,M6,Culture-loisirs,596,60479,338,5487,0.10862037543284127,0.42497779964628846,0.5750222003537115
2018,TF1,Culture-loisirs,314,40695,203,6058,0.05183228788379003,0.38376840544014895,0.616231594559851
2019,France 2,Culture-loisirs,283,40614,189,6002,0.04715094968343885,0.3788897635886644,0.6211102364113357
2019,France 3,Culture-loisirs,285,35206,199,4738,0.06015196285352469,0.3508603539792523,0.6491396460207478
2019,M6,Culture-loisirs,594,60157,338,5469,0.1086121777290181,0.4384163030894098,0.5615836969105902
2019,TF1,Culture-loisirs,291,39665,181,5585,0.05210384959713518,0.4190758031828693,0.5809241968171307
2010,France 2,Economie,509,45973,244,7015,0.07255880256593016,0.2798687260951868,0.7201312739048131
2010,France 3,Economie,334,32085,206,5197,0.06426784683471233,0.2983292962870903,0.7016707037129097
2010,M6,Economie,333,24219,191,5124,0.06498829039812647,0.3960734782522851,0.6039265217477149
2010,TF1,Economie,506,43055,254,7168,0.07059151785714286,0.3268777265697555,0.6731222734302444
2011,France 2,Economie,771,72952,271,7918,0.09737307400858802,0.3003856275098211,0.6996143724901788
2011,France 3,Economie,514,48222,268,5563,0.09239618910659717,0.29821827251532657,0.7017817274846735
2011,M6,Economie,411,32910,224,5558,0.07394746311622886,0.3921738155567911,0.6078261844432089
2011,TF1,Economie,808,71914,302,7964,0.10145655449522853,0.35015486024680925,0.6498451397531907
2012,France 2,Economie,1028,99046,313,8241,0.1247421429438175,0.3279118449844103,0.6720881550155897
2012,France 3,Economie,625,56974,292,5363,0.1165392504195413,0.3011573633003392,0.6988426366996607
2012,M6,Economie,433,35307,234,5533,0.07825772636905838,0.40754850482157173,0.5924514951784282
2012,TF1,Economie,848,77505,313,7700,0.11012987012987013,0.36169019916989725,0.6383098008301028
2013,France 2,Economie,1031,111565,327,8332,0.12373979836773884,0.34255751561709413,0.6574424843829059
2013,France 3,Economie,607,60087,292,5181,0.11715884964292608,0.3040360116916624,0.6959639883083376
2013,M6,Economie,476,39903,250,5608,0.08487874465049929,0.40690088030543853,0.5930991196945615
