year,channel_category,avg_female_share,avg_male_share,total_female_duration,total_male_duration,n_obs
2010,Animaux / Nature,0.1660760680576827,0.8339239319423173,818245.9,4081121.0000000005,1837
2010,Autre,0.26865945772689476,0.7313405422731053,4620110.18,12525043.5,6274
2010,Documentaire / Découverte,0.1754074003642096,0.8245925996357905,425553.82000000007,1976621.86,911
2010,Documentaire / Histoire,0.1775767666386125,0.8224232333613876,450267.7,2070809.7000000002,928
2010,Généraliste,0.30224525439642447,0.6977547456035755,12739967.120000001,29708335.18,16923
2010,Information,0.35545920186253416,0.6445407981374658,7427643.36,13460459.66,6881
2010,Sport,0.0715131411681967,0.9284868588318034,522301.25999999995,7392486.0600000005,2724
2010,Voyage / Découverte,0.23746854898312506,0.762531451016875,575694.98,1858774.12,958
2011,Animaux / Nature,0.19857504960052239,0.8014249503994776,950473.8200000001,3737560.24,1790
2011,Autre,0.30858162510650095,0.691418374893499,6464428.88,14665915.780000001,7882
2011,Documentaire / Découverte,0.1569818324145185,0.8430181675854815,389601.60000000003,2076283.3800000001,931
2011,Documentaire / Histoire,0.17799771186718882,0.8220022881328112,1285417.04,5878921.88,2635
2011,Généraliste,0.3077597764926827,0.6922402235073173,13364135.84,30412400.540000003,17538
2011,Information,0.36404681046917076,0.6359531895308292,9594501.08,16724902.620000001,8455
2011,Sport,0.07265039416493096,0.927349605835069,524126.36,7270022.5,2620
2011,Voyage / Découverte,0.24950050878884955,0.7504994912111503,604973.18,1814049.84,941
2012,Animaux / Nature,0.21533132600797902,0.784668673992021,1095651.54,3831905.72,1869
2012,Autre,0.29664446503279834,0.7033555349672016,5901770.5600000005,14042541.6,7213
2012,Documentaire / Découverte,0.1594774795102369,0.8405225204897631,388211.74,2028845.16,896
2012,Documentaire / Histoire,0.18160235019927268,0.8183976498007273,791732.64,3568067.4200000004,1590
2012,Généraliste,0.323401218621123,0.6765987813788771,14507549.040000001,30584676.64,17786
2012,Information,0.35709030671787195,0.6429096932821281,9457110.88,16981484.44,8516
2012,Sport,0.07950150049925002,0.92049849950075,605454.0,7588645.92,2754
2012,Voyage / Découverte,0.2422781050852353,0.7577218949147647,595481.42,1852276.08,945
2013,Animaux / Nature,0.21886717606941467,0.7811328239305854,1110946.3800000001,3777192.0,1874
2013,Autre,0.306575896891078,0.693424103108922,7870222.18,17908085.36,9545
2013,Documentaire / Découverte,0.1570929351051188,0.8429070648948812,400580.69999999995,2158140.02,935
2013,Documentaire / Histoire,0.1627424795577462,0.8372575204422539,1176624.68,6106615.88,2648
2013,Généraliste,0.3398490704594418,0.6601509295405583,16603172.32,32356411.880000003,19019
2013,Information,0.34813281688829345,0.6518671831117065,9307105.84,17440570.0,8594
2013,Sport,0.15100683672687779,0.8489931632731221,1551549.26,8878726.56,3419
2013,Voyage / Découverte,0.2656082436133328,0.7343917563866673,658569.7000000001,1797116.86,908
