year,theme,total_subjects,total_duration,n_days
2012,Faits divers,1903,139505,338
2012,Histoire-hommages,605,49692,200
2012,International,4269,319404,365
2012,Justice,1480,118519,318
2012,Politique France,4063,347702,353
2012,Santé,954,98438,304
2012,Sciences et techniques,478,44285,229
2012,Société,4932,456465,362
2012,Sport,2321,164090,346
2013,Catastrophes,2162,153745,313
2013,Culture-loisirs,2450,277954,365
2013,Economie,3163,319973,363
2013,Education,627,70433,245
2013,Environnement,1195,99043,320
2013,Faits divers,1858,137587,343
2013,Histoire-hommages,740,64585,204
2013,International,4712,380095,365
2013,Justice,1539,131215,335
2013,Politique France,2093,179662,335
2013,Santé,975,99638,306
2013,Sciences et techniques,499,48290,241
2013,Société,5648,543738,365
2013,Sport,1664,118824,329
2014,Catastrophes,2377,177272,311
2014,Culture-loisirs,2256,263537,361
2014,Economie,2649,284668,358
2014,Education,518,61009,218
2014,Environnement,1362,118020,317
2014,Faits divers,1320,96870,321
2014,Histoire-hommages,839,74543,229
2014,International,4982,407964,365
2014,Justice,1611,141176,316
2014,Politique France,2274,210252,334
2014,Santé,1047,102597,302
2014,Sciences et techniques,481,50930,242
2014,Société,4826,463951,365
2014,Sport,2253,164513,340
2015,Catastrophes,2028,157402,266
2015,Culture-loisirs,2011,234244,323
2015,Economie,2692,298612,309
2015,Education,460,53840,191
2015,Environnement,1436,143219,285
2015,Faits divers,1084,83257,253
2015,Histoire-hommages,532,47761,165
2015,International,4225,361865,329
2015,Justice,896,77660,259
2015,Politique France,3834,391368,317
2015,Santé,696,77270,240
2015,Sciences et techniques,476,50112,220
2015,Société,3672,375622,327
2015,Sport,1354,97875,284
2016,Catastrophes,1766,129145,293
2016,Culture-loisirs,2085,261979,363
2016,Economie,2330,271306,356
2016,Education,429,52770,209
2016,Environnement,921,94289,299
2016,Faits divers,968,70590,280
2016,Histoire-hommages,755,71318,198
2016,International,5333,453390,364
2016,Justice,961,79675,263
2016,Politique France,3991,386775,360
2016,Santé,656,73731,262
2016,Sciences et techniques,580,66870,257
2016,Société,4329,449470,365
2016,Sport,2345,186834,332
2017,Catastrophes,1823,137576,287
2017,Culture-loisirs,1860,229630,359
2017,Economie,2418,289479,354
2017,Education,473,60807,225
2017,Environnement,984,102929,302
2017,Faits divers,947,76070,255
2017,Histoire-hommages,704,70168,175
2017,International,4565,392361,365
2017,Justice,952,84049,273
2017,Politique France,5091,502959,359
2017,Santé,768,83717,283
2017,Sciences et techniques,593,66826,256
2017,Société,3655,397045,360
2017,Sport,1232,99531,304
2018,Catastrophes,2188,166434,303
2018,Culture-loisirs,1749,215290,360
2018,Economie,2753,319740,357
2018,Education,544,60383,224
2018,Environnement,1289,142564,325
2018,Faits divers,1223,98885,303
2018,Histoire-hommages,681,67769,199
2018,International,3710,339993,365
2018,Justice,1263,115187,289
2018,Politique France,2396,222515,341
2018,Santé,776,88916,290
2018,Sciences et techniques,509,57802,246
2018,Société,5090,531667,363
2018,Sport,1651,133516,286
2019,Catastrophes,1988,156989,311
2019,Culture-loisirs,1739,209984,362
2019,Economie,2715,327970,359
2019,Education,407,46939,183
2019,Environnement,1573,179818,339
2019,Faits divers,1475,125919,316
2019,Histoire-hommages,723,73830,192
2019,International,3949,361237,365
2019,Justice,1082,96159,290
2019,Politique France,2115,200115,334
2019,Santé,818,93968,293
2019,Sciences et techniques,577,69612,265
2019,Société,5021,543639,362
2019,Sport,820,64195,259
2020,Catastrophes,1257,102723,253
2020,Culture-loisirs,1331,158644,331
2020,Economie,3369,400387,361
2020,Education,587,65422,206
2020,Environnement,905,115553,274
2020,Faits divers,753,62296,229
2020,Histoire-hommages,571,54398,169
2020,International,2309,227112,335
2020,Justice,668,61195,225
2020,Politique France,1817,182122,293
2020,Santé,10063,1050205,364
2020,Sciences et techniques,403,51633,208
2020,Société,2967,330077,350
2020,Sport,559,42875,199
