hour,channel_name,avg_female_share,avg_male_share,total_female_duration,total_male_duration,n_obs
10,ARTE,0.2574702531904008,0.7425297468095993,756252.68,2179788.04,1112
10,Animaux,0.3731400650591403,0.6268599349408598,673463.1000000001,1124277.84,664
10,BFM TV,0.3639148794390104,0.6360851205609895,1316098.1,2303200.96,1151
10,Canal+,0.21699749918958303,0.783002500810417,590702.84,2133188.68,1176
10,Canal+ Sport,0.07173456252505483,0.9282654374749452,126771.55999999998,1924241.56,691
10,Chasse et pêche,0.08471935882301163,0.9152806411769885,144697.52,1555732.32,683
10,Chérie 25,0.49057296131228467,0.5094270386877153,1103037.8,1152003.3800000001,805
10,Comédie+,0.3019950547861863,0.6980049452138136,502674.44000000006,1082656.48,680
10,D8/C8,0.3090787306285256,0.6909212693714745,709156.9,1572540.24,865
10,Euronews,0.32332378984031507,0.6766762101596848,600943.9,1257363.9,670
10,Eurosport France,0.08654371531347481,0.9134562846865252,276343.39999999997,3024407.08,1084
10,France 2,0.4589156593299266,0.5410843406700734,1576488.36,1806550.56,1169
10,France 24,0.4155791776594499,0.5844208223405502,1308570.28,1842465.06,1020
10,France 3,0.3567133157223764,0.6432866842776236,936728.2000000001,1743261.8800000001,1169
10,France 5,0.3627350327637986,0.6372649672362014,1110638.0,1954109.32,1136
10,France O,0.4036962197820843,0.5963037802179157,1140888.7,1702911.78,1126
10,Histoire,0.1694707316419555,0.8305292683580444,478824.19999999995,2334494.02,1005
10,I-Télé/CNews,0.3356336782214106,0.6643663217785895,1189067.54,2355855.22,1128
10,L'Equipe 21,0.1914563539689569,0.808543646031043,479819.07999999996,2023114.02,807
10,LCI,0.3577301182170461,0.642269881782954,1332720.8,2389502.5,1171
10,LCP/Public Sénat,0.2880949491686166,0.7119050508313834,1111915.2000000002,2746295.3,1186
10,La chaîne Météo,0.2027374708328851,0.7972625291671149,417938.02,1588782.6,654
10,M6,0.4925571835821042,0.5074428164178958,1474121.68,1509223.08,1136
10,Monte Carlo TMC,0.3990893451725246,0.6009106548274754,1074203.88,1596418.36,1138
10,NRJ 12,0.32569228056322413,0.6743077194367758,952872.4800000001,2001396.22,1122
10,Paris Première,0.34483228597846344,0.6551677140215365,628982.7,1202658.36,645
10,Planète+,0.12238342336381583,0.8776165766361843,212742.28,1551764.48,625
10,TF1,0.4180207008169327,0.5819792991830673,1239567.28,1732838.34,1132
10,TV Breizh,0.34507259554509695,0.654927404454903,521796.16000000003,986998.92,572
10,TV5 Monde,0.318063574671996,0.681936425328004,583872.42,1241847.6400000001,630
10,Toute l'Histoire,0.18829645610518084,0.8117035438948191,347720.88,1519465.74,658
10,Téva,0.4853543574467298,0.5146456425532702,1234317.1,1240215.98,1029
10,Voyage,0.22275626019396588,0.7772437398060341,392609.44,1367428.36,669
10,W9,0.45165587064149143,0.5483441293585085,506040.44000000006,519317.10000000003,1152
11,ARTE,0.27344448420726225,0.7265555157927378,868858.7399999999,2316253.62,1207
11,Animaux,0.3614844262805622,0.6385155737194378,643105.42,1137901.8,648
11,BFM TV,0.3668610913105872,0.6331389086894128,1327381.24,2293102.44,1148
11,Canal+,0.22109394632403326,0.7789060536759668,564306.46,2005229.82,1144
11,Canal+ Sport,0.06482561687673102,0.935174383123269,115197.14000000001,1950874.12,688
11,Chasse et pêche,0.11522264434724565,0.8847773556527543,196729.42,1470196.54,648
11,Chérie 25,0.49409236713011323,0.5059076328698868,1066102.72,1096358.96,780
11,Comédie+,0.32145102249863106,0.678548977501369,561044.86,1143008.22,695
11,D8/C8,0.3800904910271876,0.6199095089728125,867829.34,1370702.82,837
11,Euronews,0.3302248086660501,0.6697751913339499,610708.88,1239775.68,677
11,Eurosport France,0.08002900698182926,0.9199709930181708,252986.96,3007902.18,1081
11,France 2,0.3162824425566925,0.6837175574433074,934706.98,2006429.78,1174
11,France 24,0.4539236873667237,0.5460763126332763,1510083.52,1816433.08,1063
11,France 3,0.40434837587131134,0.5956516241286887,1345260.52,1999124.92,1142
11,France 5,0.29839969792847953,0.7016003020715205,901621.72,2057335.6600000001,1125
11,France O,0.42212296813066036,0.5778770318693396,1266604.18,1726369.76,1138
11,Histoire,0.1765930255380098,0.8234069744619902,487244.74,2258907.24,988
11,I-Télé/CNews,0.37143568622761425,0.6285643137723858,1351508.72,2285892.8,1156
11,L'Equipe 21,0.1600532306096176,0.8399467693903824,408274.56,2182555.54,833
11,LCI,0.3427167532204345,0.6572832467795655,1238922.32,2375510.2,1143
11,LCP/Public Sénat,0.2882679593707205,0.7117320406292795,1100967.04,2728520.1,1151
11,La chaîne Météo,0.2027664308710577,0.7972335691289423,417037.38,1634182.96,677
11,M6,0.4471046363243152,0.5528953636756848,1296607.44,1624550.12,1167
11,Monte Carlo TMC,0.34972041875205356,0.6502795812479465,929082.8200000001,1703472.1,1172
11,NRJ 12,0.367082985156458,0.6329170148435419,1058999.6400000001,1850667.4400000002,1138
11,Paris Première,0.2535479920320092,0.7464520079679908,454888.0,1353727.76,647
11,Planète+,0.1544458287850399,0.8455541712149601,276364.54000000004,1559594.42,652
11,TF1,0.3820813154996708,0.6179186845003293,1154858.16,1899702.28,1145
11,TV Breizh,0.345168511328225,0.654831488671775,527396.4,994714.3800000001,572
11,TV5 Monde,0.2967754327479347,0.7032245672520653,605655.22,1434070.74,672
11,Toute l'Histoire,0.19449543401708597,0.805504565982914,388727.08,1618661.44,706
11,Téva,0.5074335807634746,0.4925664192365255,1172778.76,1063452.4200000002,909
11,Voyage,0.22703629256917005,0.7729637074308299,411440.9,1416951.28,685
11,W9,0.44369142208370793,0.556308577916292,499220.33999999997,589145.44,1134
12,ARTE,0.3284112864119244,0.6715887135880757,1026981.1200000001,2089489.28,1126
12,Animaux,0.35344290862779926,0.6465570913722009,650660.6000000001,1175404.28,661
12,BFM TV,0.3874989435990107,0.6125010564009893,1379802.08,2183454.16,1135
12,Canal+,0.33917141127421346,0.6608285887257865,999936.1599999999,1956950.82,1108
12,Canal+ Sport,0.08211714726930161,0.9178828527306984,143087.25999999998,1765437.1400000001,640
12,Chasse et pêche,0.09003658842906569,0.9099634115709342,154986.54000000004,1542520.56,671
12,Chérie 25,0.48406921262919367,0.5159307873708063,1018927.14,1080821.98,775
12,Comédie+,0.3206124939847523,0.6793875060152478,575387.7,1153635.3800000001,689
12,D8/C8,0.3567686746599353,0.6432313253400647,775136.8,1380618.38,799
12,Euronews,0.33545733259066746,0.6645426674093325,605153.64,1196783.5799999998,657
12,Eurosport France,0.0777560188847261,0.922243981115274,248240.94,3071856.3200000003,1100
12,France 2,0.26669288842799355,0.7333071115720065,846283.42,2339568.3,1123
12,France 24,0.4629537398952838,0.5370462601047162,1505499.94,1750917.3800000001,1061
